"Institution","Country","leadership","total_projects"
"Institute of Public Health","Burundi","Gueladio Cisse",1
"International Health Support Centre","Chad","Gueladio Cisse",1
"Centre Suisse de Recherches Scientifiques","Côte d'Ivoire","Gueladio Cisse",1
"Felix Houphouët Boigny University","Côte d'Ivoire","Gueladio Cisse",1
"Nangui Abrogoua University","Côte d'Ivoire","Gueladio Cisse",1
"Institute of Public Health","Mauritania","Gueladio Cisse",1
"Medical School of Rwanda","Rwanda","Gueladio Cisse",1
"Cheikh Anta Diop University","Senegal","Gueladio Cisse",1
"IRESSEF","Senegal","Gueladio Cisse",1
"Ziguinchor University","Senegal","Gueladio Cisse",1
"University of Lome","Togo","Gueladio Cisse",1
"Makerere University","Uganda","Gueladio Cisse",1
"Wits Planetary Health","South Africa","Joint Projects",7
"CeSHHAR","Zimbabwe","Joint Projects",5
"IBM Research Africa","South Africa","Joint Projects",3
"University of Pretoria","South Africa","Joint Projects",3
"Climate Systems Analysis Group","South Africa","Joint Projects",2
"University Peleforo Gon Coulibaly","Côte d'Ivoire","Joint Projects",1
"Aga Khan University","Kenya","Matthew Chersich",4
"Karolinska Institute","Sweden","Matthew Chersich",3
"London School of Hygiene and Tropical Medicine","United Kingdom","Matthew Chersich",3
"University of Graz","Austria","Matthew Chersich",2
"Azienda Sanitaria Locale Roma","Italy","Matthew Chersich",2
"International Red Cross Red Crescent Centre on Climate Change and Disaster Preparedness","Netherlands","Matthew Chersich",2
"Section 27","South Africa","Matthew Chersich",2
"Lunds University","Sweden","Matthew Chersich",2
"World Health Organization","Switzerland","Matthew Chersich",2
"Health and Environment Alliance","Belgium","Matthew Chersich",1
"Ghent University","Belgium","Matthew Chersich",1
"University of Botswana","Botswana","Matthew Chersich",1
"Institut de Recherche en Sciences de la SantÃ©","Burkina Faso","Matthew Chersich",1
"Denmark Technical University","Denmark","Matthew Chersich",1
"Tartu Ulikool","Estonia","Matthew Chersich",1
"Ilmatieteen Laitos","Finland","Matthew Chersich",1
"European Association of Perinatal Medicine","France","Matthew Chersich",1
"University Paul Sabatier Toulouse","France","Matthew Chersich",1
"University of Jena, Department of Obstetric Medicine","Germany","Matthew Chersich",1
"Friedrich Schiller Universität","Germany","Matthew Chersich",1
"University of Thessaly","Greece","Matthew Chersich",1
"Trinity College Dublin","Ireland","Matthew Chersich",1
"Royal College of Surgeons in Ireland","Ireland","Matthew Chersich",1
"Human Technopole","Italy","Matthew Chersich",1
"Aga Khan University Kilifi Research Centre","Kenya","Matthew Chersich",1
"University of Oslo","Norway","Matthew Chersich",1
"Folkehelseinstituttet","Norway","Matthew Chersich",1
"Center for International Climate Research","Norway","Matthew Chersich",1
"University of Cape Town/The Health Foundation","South Africa","Matthew Chersich",1
"Centre for Infectious Disease Epidemiology and Research, University of Cape Town","South Africa","Matthew Chersich",1
"Western Cape Provincial Health","South Africa","Matthew Chersich",1
"Empilweni Services and Research Unit (ESRU)","South Africa","Matthew Chersich",1
"Quantium Health","South Africa","Matthew Chersich",1
"Sydney Brenner Institute for Molecular Bioscience","South Africa","Matthew Chersich",1
"Rahima Moosa Mother and Child Hospital","South Africa","Matthew Chersich",1
"Division of Human Genetics, University of the Witwatersrand","South Africa","Matthew Chersich",1
"Global Change Institute University of the Witwatersrand","South Africa","Matthew Chersich",1
"South African Medical Research Council","South Africa","Matthew Chersich",1
"South African Weather Service","South Africa","Matthew Chersich",1
"Stellenbosch University","South Africa","Matthew Chersich",1
"Goeteborgs University","Sweden","Matthew Chersich",1
"Umea University","Sweden","Matthew Chersich",1
"World Meteorological Organization","Switzerland","Matthew Chersich",1
"Met Office","United Kingdom","Matthew Chersich",1
"University of Leeds","United Kingdom","Matthew Chersich",1
"University College London, Lancet Countdown","United Kingdom","Matthew Chersich",1
"University of Southampton","United Kingdom","Matthew Chersich",1
"University of Yaoundé","Cameroon","Pilot Projects",1
"Federal University of Technology","Nigeria","Pilot Projects",1
"Midlands State University","Zimbabwe","Pilot Projects",1
"European Union","Belgium",NA,1
"Research Council of Norway","Norway",NA,0
"Forte","Sweden",NA,0
"Wellcome Trust","United Kingdom",NA,0
"UK Research and Innovation","United Kingdom",NA,0
