"Institution","Country","project_type","total_projects"
"Empilweni Services and Research Unit (ESRU)","South Africa","BioHEAT",1
"Sydney Brenner Institute for Molecular Bioscience","South Africa","BioHEAT",1
"University of Southampton","United Kingdom","BioHEAT",1
"Wits Planetary Health","South Africa","CHAMNHA",7
"CeSHHAR","Zimbabwe","CHAMNHA",5
"Karolinska Institute","Sweden","CHAMNHA",3
"London School of Hygiene and Tropical Medicine","United Kingdom","CHAMNHA",3
"Institut de Recherche en Sciences de la SantÃ©","Burkina Faso","CHAMNHA",1
"Aga Khan University Kilifi Research Centre","Kenya","CHAMNHA",1
"University of Oslo","Norway","CHAMNHA",1
"South African Medical Research Council","South Africa","CHAMNHA",1
"University of Graz","Austria","ENBEL",2
"Azienda Sanitaria Locale Roma","Italy","ENBEL",2
"International Red Cross Red Crescent Centre on Climate Change and Disaster Preparedness","Switzerland","ENBEL",2
"Lunds University","Sweden","ENBEL",2
"Health and Environment Alliance","Belgium","ENBEL",1
"University of Botswana","Botswana","ENBEL",1
"Tartu Ulikool","Estonia","ENBEL",1
"Ilmatieteen Laitos","Finland","ENBEL",1
"University Paul Sabatier Toulouse","France","ENBEL",1
"Royal College of Surgeons in Ireland","Ireland","ENBEL",1
"Folkehelseinstituttet","Norway","ENBEL",1
"Center for International Climate Research","Norway","ENBEL",1
"Goeteborgs University","Sweden","ENBEL",1
"Umea University","Sweden","ENBEL",1
"Section 27","South Africa","GHAP",2
"World Health Organization","Switzerland","GHAP",2
"Trinity College Dublin","Ireland","GHAP",1
"University of Cape Town/The Health Foundation","South Africa","GHAP",1
"University of Leeds","United Kingdom","GHAP",1
"South African Weather Service","South Africa","HAPI",1
"IBM Research Africa","South Africa","HEAT",3
"University of Pretoria","South Africa","HEAT",3
"Climate Systems Analysis Group","South Africa","HEAT",2
"Institute of Public Health","Burundi","HEAT",1
"University of Yaoundé","Cameroon","HEAT",1
"Centre Suisse de Recherches Scientifiques","Côte d'Ivoire","HEAT",1
"University Peleforo Gon Coulibaly","Côte d'Ivoire","HEAT",1
"Institute of Public Health","Mauritania","HEAT",1
"Federal University of Technology","Nigeria","HEAT",1
"Medical School of Rwanda","Rwanda","HEAT",1
"Cheikh Anta Diop University","Senegal","HEAT",1
"IRESSEF","Senegal","HEAT",1
"University of Lome","Togo","HEAT",1
"Makerere University","Uganda","HEAT",1
"Midlands State University","Zimbabwe","HEAT",1
"Denmark Technical University","Denmark","HIGH Horizons",1
"University of Jena","Germany","Other",NA
"Division of Human Genetics","South Africa","Other",NA
"University College London","United Kingdom","Other",NA
