Institution,City,Country,CHAMNHA,HEAT,ENBEL,GHAP,HAPI,BioHEAT,HIGH_Horizons,Funder,Partners,Data_Providers,Policy_Stakeholders,Gueladio_Cisse,Matthew_Chersich,Pilot_Projects,lon,lat
University of Graz,Graz,Austria,0,0,1,0,0,0,1,0,1,0,0,0,1,0,15.438279,47.070868
Health and Environment Alliance,Brussels,Belgium,0,0,1,0,0,0,0,0,1,0,1,0,1,0,4.351697,50.846557
European Union,Brussels,Belgium,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4.351697,50.846557
Ghent University,Ghent,Belgium,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3.717424,51.054342
University of Botswana,Gaborone,Botswana,0,0,1,0,0,0,0,0,1,0,0,0,1,0,25.908847,-24.658136
Higher Institute of Public Health,Ouagadougou,Burkina Faso,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-1.527094,12.368187
Institut de Recherche en Sciences de la SantÃ©,Ouagadougou,Burkina Faso,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-1.527094,12.368187
Institute of Public Health,Bujumbura,Burundi,0,1,0,0,0,0,0,0,1,0,0,1,0,0,29.367503,-3.363812
University of Yaoundé,Yaoundé,Cameroon,0,1,0,0,0,0,0,0,1,0,0,0,0,1,11.521334,3.868987
International Health Support Centre,N'Djamena,Chad,0,1,0,0,0,0,0,0,1,0,0,1,0,0,15.050276,12.119154
Centre Suisse de Recherches Scientifiques,Abidjan,Côte d'Ivoire,0,1,0,0,0,0,0,0,1,0,0,1,0,1,-4.016107,5.320357
Felix Houphouët Boigny University,Abidjan,Côte d'Ivoire,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-4.016107,5.320357
Nangui Abrogoua University,Abidjan,Côte d'Ivoire,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-4.016107,5.320357
University Peleforo Gon Coulibaly,Korhogo,Côte d'Ivoire,0,1,0,0,0,0,0,0,1,0,0,1,1,0,-5.631629,9.45807
Denmark Technical University,Copenhagen,Denmark,0,0,0,0,0,0,1,0,1,0,0,0,1,0,12.570072,55.686724
Tartu Ulikool,Tartu,Estonia,0,0,1,0,0,0,0,0,1,0,0,0,1,0,26.72245,58.380121
