Institution,City,Country,CHAMNHA,HEAT,HIGH,ENBEL,GHAP,HAPI,BioHEAT,HIGH_Horizons,Funder
University of Botswana,Gaborone,Botswana,0,0,0,1,1,0,0,0,0
Higher Institute of Public Health,Ouagadougou,Burkina Faso,0,1,0,0,0,0,0,0,0
Institut de Recherche en Sciences de la Santé,Ouagadougou,Burkina Faso,1,0,0,0,1,0,0,0,0
Institute of Public Health,Bujumbura,Burundi,0,1,0,0,0,0,0,0,0
University of Yaoundé,Yaoundé,Cameroon,0,1,0,0,0,0,0,0,0
International Health Support Centre,N'Djamena,Chad,0,1,0,0,0,0,0,0,0
Centre Suisse de Recherches Scientifiques,Abidjan,Côte d'Ivoire,0,1,0,0,0,0,0,0,0
Felix Houphouët Boigny University,Abidjan,Côte d'Ivoire,0,1,0,0,0,0,0,0,0
Nangui Abrogoua University,Abidjan,Côte d'Ivoire,0,1,0,0,0,0,0,0,0
University Peleforo Gon Coulibaly,Korhogo,Côte d'Ivoire,0,1,0,0,1,0,0,0,0
KEMRI-Wellcome Trust,Kilifi,Kenya,1,0,1,0,0,0,0,1,0
Aga Khan University,Nairobi,Kenya,1,0,1,1,1,0,0,0,0
Institute of Public Health,Nouakchott,Mauritania,0,1,0,0,0,0,0,0,0
Federal University of Technology,Akure,Nigeria,0,1,0,0,0,0,0,0,0
Medical School of Rwanda,Kigali,Rwanda,0,1,0,0,0,0,0,0,0
Cheikh Anta Diop University,Dakar,Senegal,0,1,0,0,0,0,0,0,0
IRESSEF,Dakar,Senegal,0,1,0,0,0,0,0,0,0
Ziguinchor University,Ziguinchor,Senegal,0,1,0,0,0,0,0,0,0
Climate Systems Analysis Group,Cape Town,South Africa,0,0,0,0,1,0,0,0,0
Climate-Health Africa Network for Collaboration and Engagement,Cape Town,South Africa,0,0,0,0,1,0,0,0,0
University of Cape Town/The Health Foundation,Cape Town,South Africa,0,1,0,0,1,0,0,0,0
"Empilweni clinic, University of the Witwatersrand",Johannesburg,South Africa,0,0,0,0,0,0,1,0,0
IBM Research Africa,Johannesburg,South Africa,0,1,0,0,1,0,1,0,0
Quantum Health,Johannesburg,South Africa,0,0,0,0,1,0,0,0,0
Section 27,Johannesburg,South Africa,0,0,0,0,1,0,0,0,0
Wits Health Consortium,Johannesburg,South Africa,1,1,1,1,1,1,1,1,0
South African Medical Research Council,Pretoria,South Africa,1,0,0,0,1,0,0,0,0
University of Pretoria,Pretoria,South Africa,0,1,0,0,1,0,0,0,0
Stellenbosch University,Stellenbosch,South Africa,0,0,0,0,0,0,1,0,0
Muhimbili University,Dar es Salaam,Tanzania,0,0,1,0,0,0,0,0,0
University of Lome,Lome,Togo,0,1,0,0,0,0,0,0,0
Makerere University,Kampala,Uganda,0,1,0,0,0,0,0,0,0
Midlands State University,Gweru,Zimbabwe,0,1,0,0,0,0,0,0,0
CeSHHAR,Harare,Zimbabwe,1,1,1,1,1,1,0,1,0
Sydney Brenner Institute for Molecular Bioscience,Johannesburg,South Africa,0,0,0,0,0,0,1,0,0
Rahima Moosa Mother & Child Hospital,Johannesburg,South Africa,0,0,0,0,0,0,1,0,0
"Centre for Infectious Disease Epidemiology and Research, University of Cape Town",Cape Town,South Africa,0,0,0,0,1,0,0,0,0
"Division of Human Genetics, University of the Witwatersrand",Johannesburg,South Africa,0,0,0,0,0,0,1,0,0
University of Southampton,Southampton,United Kingdom,0,0,0,0,0,0,1,0,0
Trinity College Dublin,Dublin,Ireland,0,0,0,0,1,0,0,0,0
University of Leeds,Leeds,United Kingdom,0,0,0,0,1,0,0,0,0
"University College London, Lancet Countdown",London,United Kingdom,0,0,0,0,1,0,0,0,0
"University of Jena, Department of Obstetric Medicine",Jena,Germany,0,0,0,0,1,0,0,0,0
Human Technopole,Milan,Italy,0,0,0,0,1,0,0,0,0
Karolinska Institute,Stockholm,Sweden,0,0,0,0,1,0,0,0,0
Friedrich Schiller Universität,Jena,Germany,0,0,0,0,1,0,0,0,0
World Health Organization,Geneva,Switzerland,0,0,0,0,1,0,0,0,0
World Meteorological Organization,Geneva,Switzerland,0,0,0,0,1,0,0,0,0
Western Cape Provincial Health,Cape Town,South Africa,0,0,0,0,1,0,0,0,0
Met Office,Exeter,United Kingdom,0,0,0,0,1,0,0,0,0
European Association of Perinatal Medicine,Paris,France,0,0,0,0,1,0,0,0,0
"London School of Hygiene and Tropical Medicine",London,United Kingdom,1,0,0,1,0,0,0,1,0
"University of Washington",Seattle,United States,1,0,0,0,1,0,0,0,0
"University of Oslo",Oslo,Norway,1,0,0,0,0,0,0,0,0
"University of Michigan",Ann Arbor,United States,0,0,0,0,1,0,0,0,0
"Lunds University",Lund,Sweden,0,0,0,1,0,0,0,1,0
"Denmark Technical University",Copenhagen,Denmark,0,0,0,0,0,0,0,1,0
"University of Graz",Graz,Austria,0,0,0,1,0,0,0,1,0
"Azienda Sanitaria Locale Roma",Rome,Italy,0,0,0,1,0,0,0,1,0
"Umea University",Umea,Sweden,0,0,0,1,0,0,0,0,0
"Tartu Ulikool",Tartu,Estonia,0,0,0,1,0,0,0,0,0
"Folkehelseinstituttet",Oslo,Norway,0,0,0,1,0,0,0,0,0
"Center for International Climate Research",Oslo,Norway,0,0,0,1,0,0,0,0,0
"Royal College of Surgeons in Ireland",Dublin,Ireland,0,0,0,1,0,0,0,0,0
"Health and Environment Alliance",Brussels,Belgium,0,0,0,1,0,0,0,0,0
"International Red Cross Red Crescent Centre on Climate Change and Disaster Preparedness",The Hague,Netherlands,0,0,0,1,0,0,0,0,0
"University Paul Sabatier Toulouse",Toulouse,France,0,0,0,1,0,0,0,0,0
"Goeteborgs University",Gothenburg,Sweden,0,0,0,1,0,0,0,0,0
"Ilmatieteen Laitos",Helsinki,Finland,0,0,0,1,0,0,0,0,0
"US National Institutes of Health",Bethesda,United States,0,0,0,0,1,0,0,0,1
"European Union",Brussels,Belgium,0,0,0,1,0,0,0,1,1
"UK Research and Innovation",Swindon,United Kingdom,1,0,0,0,0,0,0,0,1
"Research Council of Norway",Oslo,Norway,1,0,0,0,0,0,0,0,1
"Forte",Stockholm,Sweden,1,0,0,0,0,0,0,0,1
"Green Climate Fund",Incheon,South Korea,0,0,0,0,0,0,0,0,1
"Adaptation Fund",Washington DC,United States,0,0,0,0,0,0,0,0,1
