Institution,City,Country,CHAMNHA,HEAT,ENBEL,GHAP,HAPI,BioHEAT,HIGH_Horizons,Funder,lon,lat
University of Botswana,Gaborone,Botswana,0,0,1,1,0,0,0,0,25.9088474,-24.6581357
Higher Institute of Public Health,Ouagadougou,Burkina Faso,0,1,0,0,0,0,0,0,-1.5270944,12.3681873
Institut de Recherche en Sciences de la Santé,Ouagadougou,Burkina Faso,1,0,0,1,0,0,0,0,-1.5270944,12.3681873
Institute of Public Health,Bujumbura,Burundi,0,1,0,0,0,0,0,0,29.3675028,-3.3638125
University of Yaoundé,Yaoundé,Cameroon,0,1,0,0,0,0,0,0,11.5213344,3.8689867
International Health Support Centre,N'Djamena,Chad,0,1,0,0,0,0,0,0,15.0502758,12.1191543
Centre Suisse de Recherches Scientifiques,Abidjan,Côte d'Ivoire,0,1,0,0,0,0,0,0,-4.016107,5.320357
Felix Houphouët Boigny University,Abidjan,Côte d'Ivoire,0,1,0,0,0,0,0,0,-4.016107,5.320357
Nangui Abrogoua University,Abidjan,Côte d'Ivoire,0,1,0,0,0,0,0,0,-4.016107,5.320357
University Peleforo Gon Coulibaly,Korhogo,Côte d'Ivoire,0,1,0,1,0,0,0,0,-5.6316293,9.4580698
KEMRI-Wellcome Trust,Kilifi,Kenya,1,0,0,0,0,0,0,0,39.67507159193717,-3.15073925
Aga Khan University,Nairobi,Kenya,1,0,1,1,0,0,1,0,36.82884201813725,-1.30261485
Institute of Public Health,Nouakchott,Mauritania,0,1,0,0,0,0,0,0,-15.9780071,18.0792379
Federal University of Technology,Akure,Nigeria,0,1,0,0,0,0,0,0,5.1932647,7.2525595
Medical School of Rwanda,Kigali,Rwanda,0,1,0,0,0,0,0,0,30.1296751,-1.8859597
Cheikh Anta Diop University,Dakar,Senegal,0,1,0,0,0,0,0,0,-17.447938,14.693425
IRESSEF,Dakar,Senegal,0,1,0,0,0,0,0,0,-17.447938,14.693425
Ziguinchor University,Ziguinchor,Senegal,0,1,0,0,0,0,0,0,-16.2724609,12.5634929
Climate Systems Analysis Group,Cape Town,South Africa,0,1,0,1,0,0,0,0,18.4172197,-33.9288301
Climate-Health Africa Network for Collaboration and Engagement,Cape Town,South Africa,0,0,0,1,0,0,0,0,18.4172197,-33.9288301
University of Cape Town/The Health Foundation,Cape Town,South Africa,0,0,0,1,0,0,0,0,18.4172197,-33.9288301
"Empilweni clinic, University of the Witwatersrand",Johannesburg,South Africa,0,0,0,0,0,1,0,0,28.049722,-26.205
IBM Research Africa,Johannesburg,South Africa,0,1,0,1,0,1,0,0,28.049722,-26.205
Quantum Health,Johannesburg,South Africa,0,0,0,1,0,0,0,0,28.049722,-26.205
Section 27,Johannesburg,South Africa,0,0,0,1,0,0,0,0,28.049722,-26.205
Wits Health Consortium,Johannesburg,South Africa,1,1,1,1,1,1,1,0,28.049722,-26.205
South African Medical Research Council,Pretoria,South Africa,1,0,0,1,0,0,0,0,28.1879101,-25.7459277
